0,6
1,5
2,7
3,7
4,3
5,5
6,7
7,8
8,6
9,6
10,8
11,7
12,11
13,4
14,11
15,5
16,9
17,5
18,7
19,6
20,10
21,9
22,10
23,5
24,2
25,7
26,9
27,8
28,6
29,10
30,6
31,9
32,2
33,7
34,5
35,8
36,7
37,9
38,11
39,9
40,7
41,6
42,1
43,7
44,6
45,7
46,6
47,7
48,5
49,8
50,10
51,7
52,7
53,7
54,7
55,6
56,7
57,7
58,6
59,8
60,9
61,7
62,7
63,6
64,9
65,2
66,8
67,5
68,3
69,5
70,3
71,4
72,4
73,8
74,9
75,9
76,7
77,1
78,4
79,6
80,7
81,9
82,10
83,8
84,3
85,5
86,4
87,3
88,8
89,7
90,7
91,8
92,7
93,11
94,4
95,8
96,6
97,4
98,7
99,7
100,10
101,5
102,7
103,7
104,9
105,7
106,1
107,8
108,11
109,9
110,3
111,5
112,9
113,6
114,8
115,6
116,12
117,11
118,7
119,9
120,9
121,7
122,9
123,7
124,9
125,7
126,7
127,7
128,6
129,9
130,9
131,7
132,7
133,7
134,2
135,7
136,6
137,9
138,11
139,3
140,8
141,6
142,9
143,9
144,7
145,7
146,5
147,5
148,3
149,8
150,9
151,8
152,6
153,7
154,9
155,9
156,4
157,7
158,5
159,9
160,7
161,8
162,5
163,7
164,9
165,7
166,7
167,5
168,6
169,9
170,8
171,5
172,6
173,4
174,2
175,8
176,5
177,6
178,9
179,9
180,4
181,4
182,3
183,6
184,9
185,9
186,5
187,8
188,9
189,4
190,5
191,6
192,7
193,6
194,6
195,8
196,6
197,6
198,7
199,5
200,9
201,7
202,7
203,8
204,9
205,7
206,10
207,11
208,7
209,5
210,6
211,7
212,5
213,10
214,10
215,7
216,4
217,2
218,7
219,6
220,8
221,6
222,8
223,8
224,7
225,5
226,8
227,6
228,4
229,6
230,4
231,8
232,9
233,6
234,9
235,9
236,7
237,7
238,7
239,12
240,4
241,6
242,7
243,6
244,8
245,9
246,6
247,5
248,8
249,11
250,9
251,9
252,6
253,9
254,7
255,5
256,6
257,5
258,8
259,5
260,9
261,5
262,3
263,10
264,7
265,9
266,3
267,10
268,11
269,4
270,3
271,8
272,7
273,11
274,7
275,5
276,7
277,8
278,10
279,10
280,7
281,6
282,3
283,5
284,8
285,6
286,4
287,6
288,4
289,5
290,7
291,9
292,8
293,9
294,9
295,3
296,4
297,9
298,3
299,1
300,8
301,6
302,5
303,11
304,8
305,4
306,8
307,9
308,10
309,11
310,2
311,3
312,9
313,7
314,4
